# SUTO S111 Three-Phase Power Meter — Modbus Register Table
# Source: S111_Modbus-register-table_EN_V2025-2.pdf  Rev.2025-2
#
# Columns (tab-separated):
#   ALIAS           ADDR  RW   SIZE  TYPE      UNIT   DESCRIPTION
#
# RW:   R=read-only  W=direct FC16  WC=write via config instr (FC16 to reg 300+)
# SIZE: count of 16-bit Modbus registers
# ADDR: decimal, no address offset

# ── 1.9.1  Equipment parameters ───────────────────────────────────────────────
DeviceModel         60    R    10    UTF8      -      Device model string
SerialNo            70    R    2     UInt32    -      Serial number
AppVersion          72    R    1     UInt16    -      App version (format X.Y hi-byte.lo-byte)
DateTime            75    R/WC 4     DateTime  -      Reg75=Year Reg76=Month(b15:8)|Day(b7:0) Reg77=Hour(b15:8)|Min(b7:0) Reg78=Second

# ── 1.9.2  Communication parameters ──────────────────────────────────────────
SlaveAddress        80    R/WC 1     UInt16    -      Slave address 1-247
BaudRate            81    R/WC 1     UInt16    -      0=2400 1=4800 2=9600 3=19200 4=38400 5=57600 6=115200
Parity              82    R/WC 1     UInt16    -      0=None 1=Odd 2=Even
StopBit             83    R/WC 1     UInt16    -      0=1bit 1=2bit

# ── 1.9.3  Voltage and current phase sequence ─────────────────────────────────
PhaseSeqState       220   R    1     UInt16    -      0=both correct 1=voltage wrong 2=current wrong 3=both wrong

# ── 1.9.4  Configure instruction registers ────────────────────────────────────
InstrCode           300   R/W  1     UInt16    -      Instruction code (write triggers execution)
InstrParam001       301   R/W  1     UInt16    -      Instruction parameter 1
InstrParam002       302   R/W  1     UInt16    -      Instruction parameter 2
InstrParam003       303   R/W  1     UInt16    -      Instruction parameter 3
InstrParam004       304   R/W  1     UInt16    -      Instruction parameter 4
InstrParam005       305   R/W  1     UInt16    -      Instruction parameter 5
InstrParam006       306   R/W  1     UInt16    -      Instruction parameter 6
InstrParam007       307   R/W  1     UInt16    -      Instruction parameter 7
InstrParam008       308   R/W  1     UInt16    -      Instruction parameter 8
InstrParam009       309   R/W  1     UInt16    -      Instruction parameter 9
InstrParam010       310   R/W  1     UInt16    -      Instruction parameter 10
InstrParam011       311   R/W  1     UInt16    -      Instruction parameter 11
InstrParam012       312   R/W  1     UInt16    -      Instruction parameter 12
InstrParam013       313   R/W  1     UInt16    -      Instruction parameter 13
InstrParam014       314   R/W  1     UInt16    -      Instruction parameter 14
InstrParam015       315   R/W  1     UInt16    -      Instruction parameter 15
InstrParam016       316   R/W  1     UInt16    -      Instruction parameter 16
InstrParam017       317   R/W  1     UInt16    -      Instruction parameter 17
InstrParam018       318   R/W  1     UInt16    -      Instruction parameter 18
InstrParam019       319   R/W  1     UInt16    -      Instruction parameter 19
InstrParam020       320   R/W  1     UInt16    -      Instruction parameter 20
InstrParam021       321   R/W  1     UInt16    -      Instruction parameter 21
InstrParam022       322   R/W  1     UInt16    -      Instruction parameter 22
InstrParam023       323   R/W  1     UInt16    -      Instruction parameter 23
InstrParam024       324   R/W  1     UInt16    -      Instruction parameter 24
InstrParam025       325   R/W  1     UInt16    -      Instruction parameter 25
InstrParam026       326   R/W  1     UInt16    -      Instruction parameter 26
InstrParam027       327   R/W  1     UInt16    -      Instruction parameter 27
InstrParam028       328   R/W  1     UInt16    -      Instruction parameter 28
InstrParam029       329   R/W  1     UInt16    -      Instruction parameter 29
InstrParam030       330   R/W  1     UInt16    -      Instruction parameter 30
InstrParam031       331   R/W  1     UInt16    -      Instruction parameter 31
InstrParam032       332   R/W  1     UInt16    -      Instruction parameter 32
InstrParam033       333   R/W  1     UInt16    -      Instruction parameter 33
InstrParam034       334   R/W  1     UInt16    -      Instruction parameter 34
InstrParam035       335   R/W  1     UInt16    -      Instruction parameter 35
InstrParam036       336   R/W  1     UInt16    -      Instruction parameter 36
InstrParam037       337   R/W  1     UInt16    -      Instruction parameter 37
InstrParam038       338   R/W  1     UInt16    -      Instruction parameter 38
InstrParam039       339   R/W  1     UInt16    -      Instruction parameter 39
InstrParam040       340   R/W  1     UInt16    -      Instruction parameter 40
InstrParam041       341   R/W  1     UInt16    -      Instruction parameter 41
InstrParam042       342   R/W  1     UInt16    -      Instruction parameter 42
InstrParam043       343   R/W  1     UInt16    -      Instruction parameter 43
InstrParam044       344   R/W  1     UInt16    -      Instruction parameter 44
InstrParam045       345   R/W  1     UInt16    -      Instruction parameter 45
InstrParam046       346   R/W  1     UInt16    -      Instruction parameter 46
InstrParam047       347   R/W  1     UInt16    -      Instruction parameter 47
InstrParam048       348   R/W  1     UInt16    -      Instruction parameter 48
InstrParam049       349   R/W  1     UInt16    -      Instruction parameter 49
InstrParam050       350   R/W  1     UInt16    -      Instruction parameter 50
InstrParam051       351   R/W  1     UInt16    -      Instruction parameter 51
InstrParam052       352   R/W  1     UInt16    -      Instruction parameter 52
